################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         3          8   7.0508755387173622E+01   7.2163966878064798E+02   5.7302591390700059E+02   1.0732609369840394E+02
         3          9   1.8288844340922736E+00   9.1449677424276619E+00   5.8903289983268721E+00   8.4972360670515323E-01
         3         10   7.2909330910101558E-02   8.4399091198805654E-01   2.2153048609336692E-01   4.5904213085526863E-02
         3         11   8.1019531628388208E+01   7.0462808171408733E+02   5.8726664082123227E+02   1.0175621223694215E+02
         3         12   3.7683014564126516E+01   3.0590372289659814E+02   2.2374459414076392E+02   3.6995080067583018E+01
         3         13   1.3771167884953632E+00   2.6223636940237775E+01   3.8665941912403468E+00   1.3070158407678993E+00
         3         14   1.0348283446294425E-05   1.4103113965653213E+00   3.1852449774004102E-02   8.3350387649493957E-02
         3         15   6.4562063221649112E+02   4.3929601291039704E+04   3.0668438121633568E+04   9.2780226390630869E+03
         3         16   2.4774771334278112E+03   1.1999009824434659E+05   8.4477444841641904E+04   2.2447357500113078E+04
         3         17   1.3039771141735707E+02   6.3374679118529266E+03   4.0148791209145361E+03   1.4029719032312571E+03
         3         18   1.6760327192559839E+03   6.2704440090304422E+04   4.3781257698457848E+04   1.0982737612069828E+04
         3         19   3.3796641073277428E-02   1.0548026648527839E+03   5.8684711561162692E+02   2.1660408246038713E+02
         3         20   7.6101785597014850E+02   1.3852496580416062E+04   9.3525801355542208E+03   1.9679161216016594E+03
         3         21   4.0099257067305439E+02   2.6348127313317957E+04   1.8446189346831139E+04   5.5095530362066684E+03
         3         22   1.4576926795779559E+03   7.2436492728214376E+04   5.1254078336460720E+04   1.3667361956692037E+04
         3         23   6.7673368944907637E+01   3.5460155390264204E+03   2.1974390467829048E+03   7.5854587005301551E+02
         3         24   9.6973203402687818E+02   3.7186283632370418E+04   2.6071159967214699E+04   6.6074722830902283E+03
         3         25   1.5713325162845269E-02   5.3526681684686309E+02   2.8993824782532300E+02   1.0517757388640760E+02
         3         26   4.3212307264740178E+02   7.5397639023820502E+03   5.0829971179696440E+03   1.0796248770845341E+03
         3         27   1.8647239761101628E+02   1.1482709572679238E+04   8.0124519901431368E+03   2.3400674734315139E+03
         3         28   6.4004490098952988E+02   3.1841966926284287E+04   2.2593192694123471E+04   6.0462270287606452E+03
         3         29   2.3822283395950727E+01   1.3208455452778887E+03   7.9005073498619663E+02   2.6617748050725140E+02
         3         30   4.1685473356593218E+02   1.5790695999850379E+04   1.1121083618472738E+04   2.8579189383956823E+03
         3         31   4.2283484309466844E-03   1.6657894035055588E+02   8.5437078556741469E+01   2.9864481034888087E+01
         3         32   1.8051357731632541E+02   2.7021154186132053E+03   1.8196773184754420E+03   3.9138374837468035E+02
         3         33   5.5141982548043273E+01   3.1693956078508149E+03   2.0988036682574111E+03   5.9183714770022868E+02
         3         34   1.9616106240404400E+02   8.5744651254445598E+03   6.0460727298112806E+03   1.6166009844546547E+03
         3         35   5.1020186754515047E+00   2.5388899770912681E+02   1.4410330384928193E+02   4.6054496982439446E+01
         3         36   1.2761605507418682E+02   4.0328876979460319E+03   2.8328982146561757E+03   7.3636796767659848E+02
         3         37   4.5384806925413468E-04   3.1379916019848629E+01   1.0441715228818083E+01   3.3427836945557066E+00
         3         38   5.5480760146374564E+01   4.9641048475931069E+02   3.3601273038123668E+02   7.2480502875785163E+01
         3         39   8.8012372990253969E+00   4.0898134359520145E+02   2.4755968222530822E+02   6.6788647531815471E+01
         3         40   3.9106035004569641E+01   1.1615201772707692E+03   7.2997117962679363E+02   1.9196571147067360E+02
         3         41   5.7217502488720395E-01   1.9379082386925873E+01   9.5316267286806404E+00   2.7055659582487501E+00
         3         42   2.7013299442711272E+01   5.0575873092033009E+02   3.2462242032030520E+02   8.3411841701442142E+01
         3         43   1.0381261952704255E-05   2.2195325071159679E+00   2.9976475353649534E-01   9.2162661463047982E-02
         3         44   6.8253296551983684E+00   4.0823499327981487E+01   2.3786363460877251E+01   4.8433328799226745E+00
         3         45   6.0299023387677353E-01   1.5038601964700975E+01   7.6292026473007448E+00   1.9552562188100768E+00
         3         46   3.2419781484668517E+00   4.4495495627728289E+01   2.2973490367081531E+01   5.6894236620686707E+00
         3         47   1.8458293415363487E-02   4.1942252053489010E-01   1.6493623010883685E-01   3.9081938691299528E-02
         3         48   1.5028489489970915E+00   1.9041302366483063E+01   9.9528427035568843E+00   2.3636659566169089E+00
         3         49   2.0865335202479887E-08   6.8950979302509041E-02   1.0119781171104199E-03   1.0632600670697980E-03
         3         50   8.8512224414583993E-02   2.5060644996612140E+00   5.3305145160909373E-01   2.2981988885511292E-01
         3         51   3.1647260863477342E-03   9.3793171799724184E-02   2.2600444142324191E-02   5.7894197502286922E-03
         3         52   9.6547047301018332E-03   4.4485980385756951E-01   7.3124340505647145E-02   2.2735300680268071E-02
         3         53   5.2799947646756795E-05   3.3665484438870955E-03   3.7665931285230179E-04   9.1026603343196725E-05
         3         54   4.1071311301305599E-03   3.0777596380457978E-01   3.3675120940372720E-02   1.4112995101474284E-02
         3         55   5.5316376110567919E-12   1.7234933550156454E-04   2.4610293962087820E-07   8.1484823143693078E-07
         3         56   8.8179681264420891E-05   9.9505606475726302E-02   4.0961545683157507E-03   6.7400167382112236E-03
         3         57   1.0604721740519788E-07   7.5629175944551090E-04   2.1543985293569335E-06   5.2061312891041269E-06
         3         58   3.4621426228604793E-07   7.0753082694988128E-03   1.6168048801167637E-05   4.5211791359799784E-05
         3         59   2.0713193165197551E-09   7.0358746433627303E-06   2.5564140016033306E-08   7.3096840685844891E-08
         3         60   1.4252803877878798E-07   5.2198704086546064E-03   1.1944198963501834E-05   3.4953903130241811E-05
         3         61   2.1801624245101968E-16   3.0631314460182484E-08   4.3215438441665918E-12   7.8354919788549154E-11
         3         62   1.6295472297203218E-09   1.5525417259480904E-03   7.0112789777239340E-06   1.8666110854540856E-05
