################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.3858662998307618E-01 a       288     0    10     1    18
  6.0019219459801001E-02 a       289     0    10     1    19
 -1.3828600945027973E+00 a       290     0    10     1    20
 -3.3415050350262732E-01 a       291     0    10     1    21
  5.7082976286250897E-01 a       292     0    10     1    22
  8.1683927533706790E-01 a       293     0    10     1    23
 -9.4879050368020912E-01 a       294     0    10     1    24
 -1.0429097297358372E-01 a       295     0    10     1    25
 -6.9744680132531156E-01 a       296     0    10     1    26
 -1.1780239802258301E-01 a       297     0    10     1    27
  4.2890104836085380E-01 a       298     0    10     1    28
  2.0645093613402626E-01 a       299     0    10     1    29
 -4.8297792761974190E-01 a       300     0    10     1    30
 -4.0490540903200882E+00 a       301     0    11     1     1
 -1.6503614940920201E+01 a       302     0    11     1     2
  5.1901009619835694E+00 a       303     0    11     1     3
 -2.0331674252830545E+01 a       304     0    11     1     4
  2.0088282653198128E+01 a       305     0    11     1     5
  1.8032691133213653E+01 a       306     0    11     1     6
  6.1908217637907192E+00 a       307     0    11     1     7
 -8.2860794802290592E+00 a       308     0    11     1     8
 -2.8649237638826404E+00 a       309     0    11     1     9
 -3.1400122139990168E+00 a       310     0    11     1    10
  1.1401500112988378E+01 a       311     0    11     1    11
  3.8233552741953836E+00 a       312     0    11     1    12
  2.0650906519805012E+01 a       313     0    11     1    13
 -3.2840494852463038E+01 a       314     0    11     1    14
  7.9544561081270060E-01 a       315     0    11     1    15
  7.5698663382915852E+00 a       316     0    11     1    16
  4.0874541830961242E+00 a       317     0    11     1    17
 -7.2733944627011642E+00 a       318     0    11     1    18
  1.9721448142566317E+01 a       319     0    11     1    19
  1.4106849075647003E+00 a       320     0    11     1    20
 -7.9421540901019796E+00 a       321     0    11     1    21
 -3.4033337311669598E+01 a       322     0    11     1    22
  4.0635499680863258E+00 a       323     0    11     1    23
 -3.8413548504580945E+00 a       324     0    11     1    24
 -2.4169011131267597E+00 a       325     0    11     1    25
  1.7385525103426044E+01 a       326     0    11     1    26
  4.8122873652100022E+00 a       327     0    11     1    27
  1.4430377411757849E+01 a       328     0    11     1    28
 -1.5297963413815673E+01 a       329     0    11     1    29
  3.9338158440995077E+00 a       330     0    11     1    30
  1.2733596264096905E+01 a       331     0    12     1     1
  1.5328049080495580E+01 a       332     0    12     1     2
  1.9169233029743186E+01 a       333     0    12     1     3
  3.8992255154291527E-01 a       334     0    12     1     4
 -3.9691504256098979E+00 a       335     0    12     1     5
 -6.4705700753559697E+01 a       336     0    12     1     6
  6.0458004544260917E-02 a       337     0    12     1     7
 -1.2744137132452883E+01 a       338     0    12     1     8
  3.1672433511432514E+00 a       339     0    12     1     9
  4.2624481503499183E+00 a       340     0    12     1    10
 -1.4060179166743774E+01 a       341     0    12     1    11
  7.4560814511880373E+00 a       342     0    12     1    12
 -2.9757582920894311E+01 a       343     0    12     1    13
 -3.3257497411556480E-01 a       344     0    12     1    14
  2.1279761166264198E+01 a       345     0    12     1    15
 -1.6043598231153194E+01 a       346     0    12     1    16
  2.9769210206571927E+01 a       347     0    12     1    17
 -1.6534580679053565E+01 a       348     0    12     1    18
  3.3120758903292211E+00 a       349     0    12     1    19
  1.2876627990233258E+01 a       350     0    12     1    20
  1.9115909951561108E+01 a       351     0    12     1    21
  4.0397490153918049E+01 a       352     0    12     1    22
 -1.5940112939885690E+01 a       353     0    12     1    23
  3.6010535702449111E+00 a       354     0    12     1    24
  7.3258034154932417E-01 a       355     0    12     1    25
 -2.5852809014611548E+01 a       356     0    12     1    26
  6.6710028796336909E+00 a       357     0    12     1    27
 -2.4896807882049835E+01 a       358     0    12     1    28
  1.4317651103567876E+01 a       359     0    12     1    29
  1.6004086665706161E+01 a       360     0    12     1    30
 -2.1934540614021372E+00 a       361     0    13     1     1
  3.1553425729981427E-01 a       362     0    13     1     2
 -1.5661631926381567E+01 a       363     0    13     1     3
  1.3978373660749901E+01 a       364     0    13     1     4
 -1.8867029972834601E+01 a       365     0    13     1     5
  2.3922792294970918E+01 a       366     0    13     1     6
 -1.3068982886778823E+01 a       367     0    13     1     7
  1.4951738225658412E+01 a       368     0    13     1     8
  1.1784757526503213E+01 a       369     0    13     1     9
 -7.7786699201516294E+00 a       370     0    13     1    10
 -4.4024566229994662E+00 a       371     0    13     1    11
 -1.1046133665020589E+01 a       372     0    13     1    12
 -1.3140678666137800E+01 a       373     0    13     1    13
  5.9907934053573753E+00 a       374     0    13     1    14
  6.1149981918610301E+00 a       375     0    13     1    15
 -1.4815199165148130E+01 a       376     0    13     1    16
 -7.7610206203800631E+00 a       377     0    13     1    17
  2.0746506116998673E+00 a       378     0    13     1    18
