################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.7089582148694271E+00 a       443     0    15     1    23
  2.1264855630395903E+01 a       444     0    15     1    24
  1.3264270240469153E-01 a       445     0    15     1    25
  3.8893930353425624E+01 a       446     0    15     1    26
  1.5011665224728725E+00 a       447     0    15     1    27
 -2.1837102820456309E+01 a       448     0    15     1    28
  1.4541101649455859E+00 a       449     0    15     1    29
  1.0047166158672063E+01 a       450     0    15     1    30
  8.9947190284568759E+00 a       451     0    16     1     1
  1.3081920993553098E+00 a       452     0    16     1     2
 -3.7068313345125425E+01 a       453     0    16     1     3
 -2.0384830376955357E+01 a       454     0    16     1     4
 -1.3249282337431987E+01 a       455     0    16     1     5
  2.9689175411006232E+01 a       456     0    16     1     6
 -7.7495454941252122E+00 a       457     0    16     1     7
 -1.2922006155778131E+01 a       458     0    16     1     8
  2.8914314556435880E+01 a       459     0    16     1     9
  5.8012008159244237E+00 a       460     0    16     1    10
  9.1979624720888942E-01 a       461     0    16     1    11
 -1.2510024716164660E+01 a       462     0    16     1    12
  3.6733410545518886E+01 a       463     0    16     1    13
  8.2091804671763633E+00 a       464     0    16     1    14
 -1.2676237179790091E+01 a       465     0    16     1    15
 -1.4672961078938936E+01 a       466     0    16     1    16
 -1.2053789833671257E+01 a       467     0    16     1    17
  3.2412758758226001E+00 a       468     0    16     1    18
 -2.0992334347084185E+01 a       469     0    16     1    19
  1.0280858939512582E+01 a       470     0    16     1    20
  1.0117938239272769E+01 a       471     0    16     1    21
  5.9723129677585378E+00 a       472     0    16     1    22
 -1.8737917577418060E+01 a       473     0    16     1    23
  1.1713889832656792E+01 a       474     0    16     1    24
 -2.1810007611033213E+00 a       475     0    16     1    25
  7.3238518845721803E+00 a       476     0    16     1    26
 -7.6496006858184602E+00 a       477     0    16     1    27
 -1.3716319290822639E+01 a       478     0    16     1    28
 -9.2408499645165687E+00 a       479     0    16     1    29
  7.8369554169034297E+00 a       480     0    16     1    30
  5.7895226733232903E+00 a       481     0    17     1     1
 -2.8045038614443282E+01 a       482     0    17     1     2
 -4.2288560741851793E+00 a       483     0    17     1     3
  2.3960837033591293E+01 a       484     0    17     1     4
  1.6830973931643552E+01 a       485     0    17     1     5
 -3.2641187044441278E+00 a       486     0    17     1     6
 -5.9641104672096379E+00 a       487     0    17     1     7
  8.4220436754268047E+00 a       488     0    17     1     8
  1.2069877003669729E+00 a       489     0    17     1     9
 -9.5657599779028644E+00 a       490     0    17     1    10
  6.4314333589389570E+00 a       491     0    17     1    11
 -1.9426379661718460E+01 a       492     0    17     1    12
 -3.6577692272582736E+00 a       493     0    17     1    13
  5.8792492403281296E+00 a       494     0    17     1    14
 -1.4880878390208970E+01 a       495     0    17     1    15
  1.4870403287196501E+01 a       496     0    17     1    16
  9.0333275395799745E-02 a       497     0    17     1    17
  6.8364246995138389E+00 a       498     0    17     1    18
  9.6037428901335140E+00 a       499     0    17     1    19
  2.3748935122763804E+01 a       500     0    17     1    20
 -8.2262394574224569E+00 a       501     0    17     1    21
  1.1692111344427943E+01 a       502     0    17     1    22
 -5.6919553774218201E+00 a       503     0    17     1    23
  3.8169649780239352E+00 a       504     0    17     1    24
  1.4838952477520488E+01 a       505     0    17     1    25
 -3.3100125214414966E+00 a       506     0    17     1    26
  4.1702681249682003E+00 a       507     0    17     1    27
 -9.8906571866083244E+00 a       508     0    17     1    28
  2.6310935898848781E-01 a       509     0    17     1    29
